City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,tura,25.5198,90.2201,290.2,66,0,1.55,IN,1700668152
280,kushikino,31.7167,130.2667,287.64,83,1,2.44,JP,1700668153
281,la'ie,21.6477,-157.9253,296.73,91,41,4.02,US,1700668154
282,nar'yan-mar,67.6713,53.087,255.99,92,100,4.02,RU,1700668155
283,punta del este,-34.9667,-54.95,294.21,57,0,6.69,UY,1700668155
284,sinabang,2.4803,96.3801,298.69,81,99,0.89,ID,1700668156
285,kristiansund,63.1115,7.732,280.18,75,75,8.23,NO,1700668157
286,point pedro,9.8167,80.2333,299.14,86,99,3.01,LK,1700668158
287,kempsey,-31.0833,152.8333,293.12,87,100,0.45,AU,1700668159
288,mme-bafumen,6.3333,10.2333,294.56,71,73,0.6,CM,1700668160
289,quelimane,-17.8786,36.8883,304.12,58,20,8.94,MZ,1700668160
290,timbiqui,2.7717,-77.6654,301.78,73,60,1.64,CO,1700668161
291,yunfu,22.9306,112.0373,293.69,76,97,0.44,CN,1700668162
292,mar del plata,-38.0023,-57.5575,298.05,39,0,4.47,AR,1700668137
293,zouerate,22.7187,-12.4521,302.7,8,100,7.34,MR,1700668163
294,yuzhno-kurilsk,44.0306,145.8556,282.8,65,96,4.04,RU,1700668164
295,enkoping,59.6361,17.0777,275.07,96,100,9.81,SE,1700668165
296,codrington,-38.2667,141.9667,285.78,80,47,5.91,AU,1700668166
297,sao joao da barra,-21.6403,-41.0511,306.2,72,38,9.11,BR,1700668166
298,fallon,39.4735,-118.7774,267.08,79,40,0.0,US,1700667958
299,san luis de la loma,17.2706,-100.8939,301.33,74,8,1.59,MX,1700668168
300,fortaleza,-3.7227,-38.5247,305.22,60,40,9.26,BR,1700668086
301,kiunga,-6.1219,141.2906,296.52,94,48,0.28,PG,1700668169
302,manismata,-2.4667,111.0333,297.47,98,99,0.37,ID,1700668170
303,usakos,-22.0,15.6,306.62,18,67,11.49,NA,1700668171
304,masterton,-40.9597,175.6575,285.31,98,68,1.55,NZ,1700668172
305,constantia,44.1833,28.65,281.53,85,100,8.98,RO,1700668173
306,ebon,4.582,168.6964,301.0,79,19,5.55,MH,1700668174
307,ljusdal,61.8288,16.0913,276.07,96,100,6.56,SE,1700668175
308,huilong,31.8111,121.655,289.8,61,100,3.05,CN,1700668175
309,arsk,56.0915,49.8778,268.34,95,100,8.07,RU,1700668176
310,ciudad lazaro cardenas,17.9583,-102.2,301.07,69,95,1.78,MX,1700668095
311,northam,51.0333,-4.2167,286.85,96,100,4.88,GB,1700668178
312,portage la prairie,49.9728,-98.2926,270.99,70,100,5.14,CA,1700668180
313,adjumani,3.3779,31.7909,297.89,74,94,1.67,UG,1700668181
314,harper,4.375,-7.7169,301.57,74,78,4.36,LR,1700668181
315,kruisfontein,-34.0033,24.7314,296.63,36,0,3.73,ZA,1700668182
316,mount gambier,-37.8333,140.7667,283.65,87,3,4.38,AU,1700668001
317,kachug,53.9606,105.8817,252.84,97,62,1.22,RU,1700668184
318,merritt island,28.5392,-80.672,300.93,69,0,6.69,US,1700668184
319,cadale,2.7603,46.3222,301.19,77,100,7.2,SO,1700668185
320,abashiri,44.0213,144.2697,279.18,90,78,2.96,JP,1700668186
321,el jadid,33.2549,-8.506,292.12,59,0,7.08,MA,1700668187
322,jibou,47.2667,23.25,277.77,85,59,2.4,RO,1700668188
323,wewak,-3.5534,143.6268,299.93,87,100,2.47,PG,1700668189
324,banamba,13.55,-7.45,308.63,7,83,2.51,ML,1700668189
325,amga,60.8953,131.9608,246.84,95,100,2.92,RU,1700668190
